doc_id,date,composite,d_same,score_jev,fedlock_m,exclude_main,is_scheduled,flag_svb,inflation_urgency,tightness_preference,reaction_toughness,guidance_firmness
stmt-2011-04-27,2011-04-27,0.71,0.0,1.0,43.37,False,True,False,0.41,0.06,0.46,1.91
stmt-2012-01-25,2012-01-25,0.795,0.0,0.5,37.18,False,True,False,0.06,0.01,0.93,2.18
stmt-2011-06-22,2011-06-22,0.47500000000000003,0.0,0.75,40.93,False,True,False,0.16,0.03,0.35,1.36
stmt-2012-04-25,2012-04-25,0.5825,0.0,0.41,36.48,False,True,False,0.02,0.02,0.08,2.21
stmt-2011-11-02,2011-11-02,0.32,0.0,0.5,41.09,False,True,False,0.07,0.01,0.13,1.07
stmt-2012-06-20,2012-06-20,0.49000000000000005,0.0,0.42,41.5,False,True,False,0.01,0.01,0.08,1.86
stmt-2013-03-20,2013-03-20,0.8325,0.0,0.64,41.88,False,True,False,0.02,0.02,0.3,2.99
stmt-2012-12-12,2012-12-12,0.74,0.0,0.88,37.81,False,True,False,0.02,0.01,1.0,1.93
stmt-2013-06-19,2013-06-19,0.915,0.0,0.77,44.83,False,True,False,0.06,0.25,0.4,2.95
stmt-2012-09-13,2012-09-13,0.415,0.0,0.56,36.65,False,True,False,0.05,0.0,0.18,1.43
stmt-2013-09-18,2013-09-18,0.7174999999999999,0.0,0.86,42.47,False,True,False,0.09,0.07,0.14,2.57
stmt-2013-12-18,2013-12-18,0.9725,0.0,0.96,43.36,False,True,False,0.22,0.68,0.32,2.67
stmt-2014-03-19,2014-03-19,1.1075,0.0,1.26,44.43,False,True,False,0.4,0.64,0.68,2.71
stmt-2014-06-18,2014-06-18,1.075,0.0,1.13,43.82,False,True,False,0.31,0.89,0.42,2.68
stmt-2014-12-17,2014-12-17,0.9825,0.0,1.26,45.27,False,True,False,0.11,0.67,0.49,2.66
stmt-2014-09-17,2014-09-17,1.155,0.0,1.55,,False,True,False,0.09,1.13,0.73,2.67
stmt-2015-03-18,2015-03-18,1.0525,0.0,1.66,49.41,False,True,False,0.15,1.44,0.63,1.99
stmt-2015-06-17,2015-06-17,0.855,0.0,0.84,48.01,False,True,False,0.09,0.45,0.47,2.41
stmt-2015-09-17,2015-09-17,0.925,0.0,0.83,46.62,False,True,False,0.19,0.89,0.54,2.08
stmt-2015-12-16,2015-12-16,1.7775,0.25,2.43,55.89,False,True,False,0.45,2.91,1.15,2.6
stmt-2016-03-16,2016-03-16,0.895,0.0,1.05,44.4,False,True,False,0.3,0.58,0.47,2.23
stmt-2016-09-21,2016-09-21,1.3275,0.0,1.4,50.41,False,True,False,0.39,2.05,0.92,1.95
stmt-2016-06-15,2016-06-15,1.015,0.0,0.93,47.79,False,True,False,0.21,0.96,0.63,2.26
stmt-2017-03-15,2017-03-15,2.0725,0.25,2.66,57.12,False,True,False,0.9,3.0,1.76,2.63
stmt-2016-12-14,2016-12-14,1.8,0.25,2.61,54.21,False,True,False,0.79,2.99,1.14,2.28
stmt-2017-06-14,2017-06-14,1.9425,0.25,2.46,56.13,False,True,False,0.56,3.03,1.72,2.46
stmt-2017-09-20,2017-09-20,1.575,0.0,1.64,51.6,False,True,False,0.43,2.62,0.83,2.42
