doc_id,date,era,signals_cut_soon,signals_higher_for_longer,acknowledges_banking_stress,blames_supply_shocks,n_high_ge_0.6,high_nouls
stmt-2011-04-27,2011-04-27,other,0.04,0.08,0.04,0.91,1,['blames_supply_shocks']
stmt-2012-01-25,2012-01-25,other,0.06,0.08,0.47,0.19,0,[]
stmt-2011-06-22,2011-06-22,other,0.06,0.04,0.03,0.92,1,['blames_supply_shocks']
stmt-2012-04-25,2012-04-25,other,0.04,0.08,0.21,0.85,1,['blames_supply_shocks']
stmt-2011-11-02,2011-11-02,other,0.08,0.04,0.84,0.88,2,"['acknowledges_banking_stress', 'blames_supply_shocks']"
stmt-2012-06-20,2012-06-20,other,0.06,0.08,0.12,0.7,1,['blames_supply_shocks']
stmt-2013-03-20,2013-03-20,other,0.04,0.21,0.22,0.36,0,[]
stmt-2012-12-12,2012-12-12,other,0.06,0.15,0.03,0.39,0,[]
stmt-2013-06-19,2013-06-19,other,0.04,0.19,0.04,0.07,0,[]
stmt-2012-09-13,2012-09-13,other,0.19,0.06,0.09,0.72,1,['blames_supply_shocks']
stmt-2013-09-18,2013-09-18,other,0.03,0.1,0.08,0.31,0,[]
stmt-2013-12-18,2013-12-18,other,0.04,0.12,0.03,0.04,0,[]
stmt-2014-03-19,2014-03-19,other,0.05,0.12,0.06,0.06,0,[]
stmt-2014-06-18,2014-06-18,other,0.03,0.14,0.06,0.04,0,[]
stmt-2014-12-17,2014-12-17,other,0.03,0.24,0.04,0.43,0,[]
stmt-2014-09-17,2014-09-17,other,0.03,0.13,0.05,0.05,0,[]
stmt-2015-03-18,2015-03-18,other,0.03,0.12,0.04,0.53,0,[]
stmt-2015-06-17,2015-06-17,other,0.03,0.15,0.04,0.63,1,['blames_supply_shocks']
stmt-2015-09-17,2015-09-17,other,0.04,0.09,0.06,0.64,1,['blames_supply_shocks']
stmt-2015-12-16,2015-12-16,other,0.02,0.08,0.05,0.15,0,[]
stmt-2016-03-16,2016-03-16,other,0.05,0.07,0.05,0.17,0,[]
stmt-2016-09-21,2016-09-21,other,0.04,0.14,0.03,0.25,0,[]
stmt-2016-06-15,2016-06-15,other,0.04,0.12,0.15,0.35,0,[]
stmt-2017-03-15,2017-03-15,other,0.02,0.12,0.04,0.39,0,[]
stmt-2016-12-14,2016-12-14,other,0.02,0.18,0.03,0.07,0,[]
stmt-2017-06-14,2017-06-14,other,0.03,0.22,0.05,0.13,0,[]
stmt-2017-09-20,2017-09-20,other,0.03,0.1,0.03,0.61,1,['blames_supply_shocks']
stmt-2017-12-13,2017-12-13,other,0.03,0.19,0.03,0.11,0,[]
stmt-2018-09-26,2018-09-26,other,0.03,0.17,0.13,0.52,0,[]
stmt-2018-03-21,2018-03-21,other,0.03,0.53,0.03,0.12,0,[]
stmt-2018-06-13,2018-06-13,other,0.02,0.18,0.04,0.24,0,[]
stmt-2018-12-19,2018-12-19,other,0.06,0.17,0.06,0.04,0,[]
stmt-2019-05-01,2019-05-01,other,0.06,0.18,0.03,0.21,0,[]
stmt-2019-03-20,2019-03-20,other,0.1,0.36,0.05,0.11,0,[]
stmt-2019-01-30,2019-01-30,other,0.12,0.12,0.1,0.27,0,[]
stmt-2019-07-31,2019-07-31,other,0.87,0.03,0.03,0.15,1,['signals_cut_soon']
stmt-2019-06-19,2019-06-19,other,0.82,0.05,0.03,0.16,1,['signals_cut_soon']
stmt-2020-01-29,2020-01-29,2020,0.06,0.18,0.15,0.07,0,[]
stmt-2020-03-03,2020-03-03,2020,0.71,0.03,0.05,0.06,1,['signals_cut_soon']
