doc_id,date,mu,sigma,n_comps,filter_empty,passage_chars,quarter,mu_era_adj,percentile,percentile_era
stmt-2011-04-27,2011-04-27,46.46912426578291,1.7743476848371726,24,False,8000,2011Q2,50.370753891081456,27.368421052631582,80.0
stmt-2011-06-22,2011-06-22,45.68793270318493,1.789788412256189,24,False,5448,2011Q2,49.589562328483474,22.105263157894736,22.105263157894736
stmt-2011-11-02,2011-11-02,47.382199846892675,1.811181690847037,23,False,4719,2011Q4,49.980158109782465,35.78947368421053,51.05263157894737
stmt-2012-01-25,2012-01-25,45.29816983830876,1.8020765473528186,23,False,8000,2012Q1,49.980158109782465,20.0,51.05263157894737
stmt-2012-04-25,2012-04-25,46.70981613191337,1.7772559330232292,24,False,4175,2012Q2,50.95914903455896,30.526315789473685,93.6842105263158
stmt-2012-06-20,2012-06-20,44.75183428236038,1.780050219223472,24,False,3199,2012Q2,49.00116718500597,15.789473684210526,8.421052631578947
stmt-2012-09-13,2012-09-13,43.86746641855588,1.813942142278694,24,False,8000,2012Q3,49.980158109782465,9.473684210526317,51.05263157894737
stmt-2012-12-12,2012-12-12,44.266435631384184,1.8088111051275306,24,False,8000,2012Q4,49.980158109782465,11.578947368421053,51.05263157894737
stmt-2013-03-20,2013-03-20,44.50476427889299,1.8177840335001756,24,False,8000,2013Q1,49.980158109782465,12.631578947368421,51.05263157894737
stmt-2013-06-19,2013-06-19,44.63604757559175,1.792819017491766,24,False,8000,2013Q2,49.980158109782465,13.684210526315791,51.05263157894737
stmt-2013-09-18,2013-09-18,44.69837459715826,1.7938120480062079,24,False,8000,2013Q3,49.980158109782465,14.736842105263156,51.05263157894737
stmt-2013-12-18,2013-12-18,45.61278456287253,1.7843985308054529,24,False,8000,2013Q4,49.980158109782465,21.052631578947366,51.05263157894737
stmt-2014-03-19,2014-03-19,45.92577248689737,1.8214413002262912,23,False,8000,2014Q1,49.980158109782465,23.157894736842106,51.05263157894737
stmt-2014-06-18,2014-06-18,46.175064942565456,1.7962431442873361,23,False,7731,2014Q2,49.980158109782465,24.210526315789473,51.05263157894737
