doc_id,date,mu,sigma,n_comps,filter_empty,passage_chars,quarter,mu_era_adj,percentile,percentile_era
stmt-2011-04-27,2011-04-27,47.21022121501237,1.7497035645263375,24,False,8000,2011Q2,50.749116747407534,35.78947368421053,83.15789473684211
stmt-2011-06-22,2011-06-22,45.701932766817315,1.732437086631181,25,False,5448,2011Q2,49.24082829921248,22.105263157894736,18.947368421052634
stmt-2011-11-02,2011-11-02,47.00209267996168,1.709042425903413,26,False,4719,2011Q4,49.994972523310004,33.68421052631579,51.05263157894737
stmt-2012-01-25,2012-01-25,44.938828710659244,1.7685036436698836,24,False,8000,2012Q1,49.994972523310004,20.0,51.05263157894737
stmt-2012-04-25,2012-04-25,45.72603995302775,1.737319900909334,25,False,4175,2012Q2,51.06653618563919,23.157894736842106,91.57894736842105
stmt-2012-06-20,2012-06-20,43.582912628369385,1.7713631598109827,25,False,3199,2012Q2,48.92340886098082,13.684210526315791,10.526315789473683
stmt-2012-09-13,2012-09-13,42.827303834837345,1.7514961946236167,26,False,8000,2012Q3,49.994972523310004,12.631578947368421,51.05263157894737
stmt-2012-12-12,2012-12-12,44.10390994546255,1.7082594298538636,26,False,8000,2012Q4,49.994972523310004,15.789473684210526,51.05263157894737
stmt-2013-03-20,2013-03-20,44.108477753698935,1.7263721492240447,26,False,8000,2013Q1,49.994972523310004,16.842105263157894,51.05263157894737
stmt-2013-06-19,2013-06-19,43.83154708841043,1.7346648240430376,26,False,8000,2013Q2,49.994972523310004,14.736842105263156,51.05263157894737
stmt-2013-09-18,2013-09-18,45.06788856223133,1.73755654680744,25,False,8000,2013Q3,49.994972523310004,21.052631578947366,51.05263157894737
stmt-2013-12-18,2013-12-18,44.888149138558106,1.7711494099511613,24,False,8000,2013Q4,49.994972523310004,18.947368421052634,51.05263157894737
stmt-2014-03-19,2014-03-19,46.59912413068474,1.735012484470242,25,False,8000,2014Q1,49.994972523310004,32.631578947368425,51.05263157894737
stmt-2014-06-18,2014-06-18,45.97774504147283,1.739030505401372,25,False,7731,2014Q2,49.994972523310004,26.31578947368421,51.05263157894737
stmt-2014-09-17,2014-09-17,47.129392968012766,1.7297147262631867,25,False,5864,2014Q3,49.994972523310004,34.73684210526316,51.05263157894737
stmt-2014-12-17,2014-12-17,46.286036157277465,1.7698095545867925,24,False,8000,2014Q4,49.994972523310004,31.57894736842105,51.05263157894737
stmt-2015-03-18,2015-03-18,46.01796736850058,1.7659162192603,24,False,8000,2015Q1,49.994972523310004,27.368421052631582,51.05263157894737
stmt-2015-06-17,2015-06-17,44.73832889447647,1.726860765495709,25,False,8000,2015Q2,49.994972523310004,17.894736842105264,51.05263157894737
stmt-2015-09-17,2015-09-17,46.055205147523395,1.7326751683505839,25,False,8000,2015Q3,49.994972523310004,28.421052631578945,51.05263157894737
stmt-2015-12-16,2015-12-16,48.957743728103814,1.7330011811672856,25,False,8000,2015Q4,49.994972523310004,47.368421052631575,51.05263157894737
stmt-2016-03-16,2016-03-16,47.40443466996683,1.7366924267861443,25,False,8000,2016Q1,49.994972523310004,37.89473684210527,51.05263157894737
stmt-2016-06-15,2016-06-15,46.278718408813006,1.7331314074648505,25,False,7959,2016Q2,49.994972523310004,30.526315789473685,51.05263157894737
stmt-2016-09-21,2016-09-21,48.24599484588728,1.7009891590917192,26,False,7992,2016Q3,49.994972523310004,44.21052631578947,51.05263157894737
stmt-2016-12-14,2016-12-14,49.819487190393374,1.7391025178966473,25,False,6594,2016Q4,49.994972523310004,53.68421052631579,51.05263157894737
stmt-2017-03-15,2017-03-15,51.561071491631694,1.7497738597979589,25,False,4003,2017Q1,49.994972523310004,68.42105263157895,51.05263157894737
stmt-2017-06-14,2017-06-14,49.4907744784669,1.7405488662962807,25,False,5838,2017Q2,49.994972523310004,51.578947368421055,51.05263157894737
stmt-2017-09-20,2017-09-20,48.23213511632782,1.7315748611837418,25,False,7716,2017Q3,49.994972523310004,42.10526315789473,51.05263157894737
stmt-2017-12-13,2017-12-13,49.780160548437905,1.7407756472225298,25,False,7779,2017Q4,49.994972523310004,52.63157894736842,51.05263157894737
stmt-2018-03-21,2018-03-21,50.28754795254194,1.7277181493732683,25,False,5553,2018Q1,49.994972523310004,56.84210526315789,51.05263157894737
stmt-2018-06-13,2018-06-13,51.349930518182994,1.7440393758085428,25,False,5869,2018Q2,49.994972523310004,66.3157894736842,51.05263157894737
stmt-2018-09-26,2018-09-26,50.111720287197066,1.7341673761221765,25,False,5943,2018Q3,49.994972523310004,54.736842105263165,51.05263157894737
stmt-2018-12-19,2018-12-19,48.471006322765106,1.7481888220538961,24,False,8000,2018Q4,49.994972523310004,45.26315789473684,51.05263157894737
stmt-2019-01-30,2019-01-30,45.765370424511275,1.7377640581764497,25,False,5822,2019Q1,49.110201930352446,24.210526315789473,15.789473684210526
stmt-2019-03-20,2019-03-20,47.53491161042639,1.7349501065840824,25,False,5726,2019Q1,50.87974311626756,40.0,86.31578947368422
stmt-2019-05-01,2019-05-01,48.24088105171903,1.7376740032843632,25,False,3916,2019Q2,50.4016711930498,43.15789473684211,74.73684210526315
stmt-2019-06-19,2019-06-19,47.42748371223944,1.7657733856703817,24,False,7054,2019Q2,49.588273853570215,38.94736842105263,27.368421052631582
