doc_id,date,mu,sigma,n_comps,filter_empty,passage_chars,quarter,mu_era_adj,percentile,percentile_era
stmt-2011-04-27,2011-04-27,56.290146063905944,1.7764622812467386,26,False,2018,2011Q2,50.17382653288526,87.36842105263159,69.47368421052632
stmt-2011-06-22,2011-06-22,55.99462911785472,1.7159424528342981,26,True,7424,2011Q2,49.878309586834035,84.21052631578947,32.631578947368425
stmt-2011-11-02,2011-11-02,55.57149780453334,1.7252858411569028,25,True,8000,2011Q4,50.02606805985965,81.05263157894737,51.05263157894737
stmt-2012-01-25,2012-01-25,47.93737511519622,1.7636113136105849,24,False,1883,2012Q1,50.02606805985965,38.94736842105263,51.05263157894737
stmt-2012-04-25,2012-04-25,52.82602169105319,1.7387902938743722,25,True,4191,2012Q2,45.771233020233716,70.52631578947368,2.1052631578947367
stmt-2012-06-20,2012-06-20,61.335691770305054,1.7790038210312815,26,False,2022,2012Q2,54.28090309948558,97.89473684210527,98.94736842105263
stmt-2012-09-13,2012-09-13,67.80419317742103,2.3239162172179095,26,False,1787,2012Q3,50.02606805985965,100.0,51.05263157894737
stmt-2012-12-12,2012-12-12,61.56866437624373,1.7891973528168423,26,False,1781,2012Q4,50.02606805985965,98.94736842105263,51.05263157894737
stmt-2013-03-20,2013-03-20,56.09382183215702,1.7025489672943022,26,False,1740,2013Q1,50.02606805985965,85.26315789473684,51.05263157894737
stmt-2013-06-19,2013-06-19,55.676335699562884,1.7463348847191118,26,True,8000,2013Q2,50.02606805985965,83.15789473684211,51.05263157894737
stmt-2013-09-18,2013-09-18,57.18302034919831,1.7586595127723774,26,True,8000,2013Q3,50.02606805985965,90.52631578947368,51.05263157894737
stmt-2013-12-18,2013-12-18,57.643082798148114,1.7528512069880864,26,False,2019,2013Q4,50.02606805985965,94.73684210526315,51.05263157894737
stmt-2014-03-19,2014-03-19,52.42865545592867,1.7348190635345535,25,True,8000,2014Q1,50.02606805985965,69.47368421052632,51.05263157894737
stmt-2014-06-18,2014-06-18,54.15422030562564,1.7591861552232224,24,True,8000,2014Q2,50.02606805985965,75.78947368421053,51.05263157894737
stmt-2014-09-17,2014-09-17,54.3569950262356,1.7440993749329645,25,True,8000,2014Q3,50.02606805985965,77.89473684210526,51.05263157894737
stmt-2014-12-17,2014-12-17,52.03171144377905,1.73842581519119,25,True,8000,2014Q4,50.02606805985965,65.26315789473685,51.05263157894737
stmt-2015-03-18,2015-03-18,52.29241815363343,1.7387726927189362,25,True,8000,2015Q1,50.02606805985965,68.42105263157895,51.05263157894737
stmt-2015-06-17,2015-06-17,53.468776624464724,1.7384424416870978,25,True,8000,2015Q2,50.02606805985965,73.68421052631578,51.05263157894737
stmt-2015-09-17,2015-09-17,52.18633259864828,1.697791233794248,26,True,8000,2015Q3,50.02606805985965,67.36842105263158,51.05263157894737
stmt-2015-12-16,2015-12-16,48.55941286927575,1.739953540917952,25,True,8000,2015Q4,50.02606805985965,42.10526315789473,51.05263157894737
stmt-2016-03-16,2016-03-16,51.85737121817556,1.7311642622564927,25,True,8000,2016Q1,50.02606805985965,64.21052631578948,51.05263157894737
stmt-2016-06-15,2016-06-15,53.6666199821668,1.7349989662990306,25,False,1941,2016Q2,50.02606805985965,74.73684210526315,51.05263157894737
stmt-2016-09-21,2016-09-21,52.088572557714656,1.7394048973235146,25,False,4154,2016Q3,50.02606805985965,66.3157894736842,51.05263157894737
stmt-2016-12-14,2016-12-14,46.29919288986757,1.7324590847736292,25,True,6658,2016Q4,50.02606805985965,27.368421052631582,51.05263157894737
stmt-2017-03-15,2017-03-15,46.310826571697206,1.7337491491372106,25,True,6881,2017Q1,50.02606805985965,28.421052631578945,51.05263157894737
stmt-2017-06-14,2017-06-14,46.80932057651357,1.7286613655731988,25,True,8000,2017Q2,50.02606805985965,30.526315789473685,51.05263157894737
stmt-2017-09-20,2017-09-20,47.31976495466615,1.7546961843901305,25,True,8000,2017Q3,50.02606805985965,33.68421052631579,51.05263157894737
stmt-2017-12-13,2017-12-13,47.563902676958804,1.7314757136398717,25,True,7976,2017Q4,50.02606805985965,37.89473684210527,51.05263157894737
stmt-2018-03-21,2018-03-21,45.4700298574505,1.7067185901107784,26,True,5832,2018Q1,50.02606805985965,18.947368421052634,51.05263157894737
stmt-2018-06-13,2018-06-13,44.73564478819827,1.771188489683309,25,True,8000,2018Q2,50.02606805985965,13.684210526315791,51.05263157894737
stmt-2018-09-26,2018-09-26,45.44875383019846,1.7370189214818916,25,False,2045,2018Q3,50.02606805985965,17.894736842105264,51.05263157894737
stmt-2018-12-19,2018-12-19,46.496819591312715,1.7638403358613615,24,True,8000,2018Q4,50.02606805985965,29.47368421052631,51.05263157894737
stmt-2019-01-30,2019-01-30,47.34577068356918,1.7120736504481788,26,True,8000,2019Q1,49.373551446231566,35.78947368421053,21.052631578947366
stmt-2019-03-20,2019-03-20,48.65080391082534,1.7149307477498044,25,True,7424,2019Q1,50.67858467348773,44.21052631578947,78.94736842105263
stmt-2019-05-01,2019-05-01,45.682311996439964,1.7365417425585266,25,True,6158,2019Q2,46.14916265079311,23.157894736842106,3.1578947368421053
stmt-2019-06-19,2019-06-19,53.43612281457305,1.7394723258294784,25,True,7153,2019Q2,53.90297346892619,72.63157894736842,97.89473684210527
stmt-2019-07-31,2019-07-31,51.61646181323745,1.7427867407026085,25,True,5206,2019Q3,50.41081099400803,62.10526315789474,75.78947368421053
stmt-2019-09-18,2019-09-18,50.84697594494068,1.739481768931008,25,True,7718,2019Q3,49.64132512571126,56.84210526315789,26.31578947368421
stmt-2019-10-30,2019-10-30,50.70796474688802,1.7604085845581054,24,True,6279,2019Q4,50.22979060922026,55.78947368421052,71.57894736842105
stmt-2019-12-11,2019-12-11,50.300519648166784,1.7501770201989142,24,True,6833,2019Q4,49.82234551049903,51.578947368421055,30.526315789473685
stmt-2020-01-29,2020-01-29,51.40063303304889,1.7365809765057252,25,True,6151,2020Q1,49.55861580053504,60.0,24.210526315789473
stmt-2020-03-03,2020-03-03,51.368174097103974,1.699194009330599,26,True,2382,2020Q1,49.52615686459012,58.94736842105262,22.105263157894736
stmt-2020-03-15,2020-03-15,52.835448746967636,1.7646899700251284,24,True,8000,2020Q1,50.99343151445378,71.57894736842105,84.21052631578947
