doc_id,date,mu,sigma,n_comps,filter_empty,passage_chars,quarter,mu_era_adj,percentile,percentile_era
stmt-2011-04-27,2011-04-27,46.49899088267272,1.8784643057873227,22,False,1608,2011Q2,50.775340310199994,28.421052631578945,77.89473684210526
stmt-2011-06-22,2011-06-22,44.861163638842974,1.887999292908272,22,False,1776,2011Q2,49.137513066370246,21.052631578947366,23.157894736842106
stmt-2011-11-02,2011-11-02,44.920009756342814,1.8796534889997485,22,False,1815,2011Q4,49.95642668828512,22.105263157894736,50.0
stmt-2012-01-25,2012-01-25,44.69856875550545,1.894886856067183,22,False,3053,2012Q1,49.95642668828512,20.0,50.0
stmt-2012-04-25,2012-04-25,45.09693334811132,1.8741464584580716,22,False,2230,2012Q2,50.264977335906295,24.210526315789473,71.57894736842105
stmt-2012-06-20,2012-06-20,44.47983205286897,1.9035385449884807,21,False,1794,2012Q2,49.647876040663945,16.842105263157894,29.47368421052631
stmt-2012-09-13,2012-09-13,44.00520661507296,1.8979286264046018,22,False,3827,2012Q3,49.95642668828512,14.736842105263156,50.0
stmt-2012-12-12,2012-12-12,43.40572030105891,1.9089953157454902,21,False,7776,2012Q4,49.95642668828512,12.631578947368421,50.0
stmt-2013-03-20,2013-03-20,44.627876557890204,1.8836126900950252,22,False,4383,2013Q1,49.95642668828512,18.947368421052634,50.0
stmt-2013-06-19,2013-06-19,47.77243816395215,1.866331021011122,22,False,7305,2013Q2,49.95642668828512,30.526315789473685,50.0
stmt-2013-09-18,2013-09-18,46.38352149788969,1.882026792033274,22,False,7208,2013Q3,49.95642668828512,27.368421052631582,50.0
stmt-2013-12-18,2013-12-18,48.229209802475964,1.884434027468651,22,False,8000,2013Q4,49.95642668828512,37.89473684210527,50.0
stmt-2014-03-19,2014-03-19,46.160265012789424,1.8769862786026859,22,False,4560,2014Q1,49.95642668828512,26.31578947368421,50.0
stmt-2014-06-18,2014-06-18,48.02133994611136,1.876522003951238,22,False,7344,2014Q2,49.95642668828512,34.73684210526316,50.0
stmt-2014-09-17,2014-09-17,52.09967933073216,1.871066083598866,22,False,5832,2014Q3,49.95642668828512,64.21052631578948,50.0
stmt-2014-12-17,2014-12-17,47.9218508860802,1.8713493450438163,22,False,1833,2014Q4,49.95642668828512,32.631578947368425,50.0
