doc_id,date,mu,sigma,n_comps,filter_empty,passage_chars,quarter,mu_era_adj,percentile,percentile_era
stmt-2011-04-27,2011-04-27,48.42793663726796,1.7349266886122905,25,False,1608,2011Q2,51.2887437953589,47.368421052631575,87.36842105263159
stmt-2011-06-22,2011-06-22,45.85841299527538,1.7727132521480224,24,False,1776,2011Q2,48.719220153366315,27.368421052631582,13.684210526315791
stmt-2011-11-02,2011-11-02,45.752614191769794,1.7366284869576873,25,False,1815,2011Q4,50.0039819743626,25.263157894736842,50.0
stmt-2012-01-25,2012-01-25,46.56487962558573,1.7325409780109022,25,False,3053,2012Q1,50.0039819743626,31.57894736842105,50.0
stmt-2012-04-25,2012-04-25,45.84292368174005,1.7402839212008638,25,False,2230,2012Q2,50.39190784924975,26.31578947368421,72.63157894736842
stmt-2012-06-20,2012-06-20,45.067071931965764,1.737098502917402,25,False,1794,2012Q2,49.616056099475465,17.894736842105264,27.368421052631582
stmt-2012-09-13,2012-09-13,48.39278262204638,1.771441045876328,24,False,3827,2012Q3,50.0039819743626,46.31578947368421,50.0
stmt-2012-12-12,2012-12-12,45.38845238939935,1.7512916826388552,25,False,7776,2012Q4,50.0039819743626,21.052631578947366,50.0
stmt-2013-03-20,2013-03-20,44.92122753667012,1.7800746953765618,25,False,4383,2013Q1,50.0039819743626,14.736842105263156,50.0
stmt-2013-06-19,2013-06-19,49.71392128602282,1.7741501550862335,24,False,7305,2013Q2,50.0039819743626,53.68421052631579,50.0
stmt-2013-09-18,2013-09-18,46.955267711697005,1.7380418715412005,25,False,7208,2013Q3,50.0039819743626,34.73684210526316,50.0
stmt-2013-12-18,2013-12-18,49.17499036639123,1.7325335246764662,25,False,8000,2013Q4,50.0039819743626,49.473684210526315,50.0
stmt-2014-03-19,2014-03-19,46.403102273540675,1.736006973778517,25,False,4560,2014Q1,50.0039819743626,28.421052631578945,50.0
stmt-2014-06-18,2014-06-18,47.06724309927621,1.7609274719973917,24,False,7344,2014Q2,50.0039819743626,36.84210526315789,50.0
stmt-2014-09-17,2014-09-17,53.56017303714826,1.7389466610478903,25,False,5832,2014Q3,50.0039819743626,71.57894736842105,50.0
stmt-2014-12-17,2014-12-17,47.045979506408756,1.7539770713350826,25,False,1833,2014Q4,50.0039819743626,35.78947368421053,50.0
stmt-2015-03-18,2015-03-18,47.51612434326759,1.7555274720993301,24,False,1668,2015Q1,50.0039819743626,37.89473684210527,50.0
stmt-2015-06-17,2015-06-17,45.750651302254425,1.7719140153736164,24,False,1457,2015Q2,50.0039819743626,24.210526315789473,50.0
stmt-2015-09-17,2015-09-17,47.9721493347687,1.7639139856539714,24,False,1422,2015Q3,50.0039819743626,42.10526315789473,50.0
stmt-2015-12-16,2015-12-16,48.161136471566834,1.7335475646228962,25,False,1907,2015Q4,50.0039819743626,43.15789473684211,50.0
stmt-2016-03-16,2016-03-16,45.353761948273416,1.7475308373937444,25,False,1231,2016Q1,50.0039819743626,20.0,50.0
stmt-2016-06-15,2016-06-15,46.89397000351042,1.7749559354869493,24,False,1718,2016Q2,50.0039819743626,33.68421052631579,50.0
stmt-2016-09-21,2016-09-21,46.511937042752486,1.7411416397326194,25,False,712,2016Q3,50.0039819743626,30.526315789473685,50.0
stmt-2016-12-14,2016-12-14,48.46192652814739,1.7749410961520131,24,False,867,2016Q4,50.0039819743626,48.421052631578945,50.0
stmt-2017-03-15,2017-03-15,50.09476510544343,1.7477492521655966,25,False,885,2017Q1,50.0039819743626,54.736842105263165,50.0
stmt-2017-06-14,2017-06-14,51.839790436959525,1.7337189019446828,25,False,6906,2017Q2,50.0039819743626,64.21052631578948,50.0
stmt-2017-09-20,2017-09-20,53.144101604788396,1.7410036307109256,25,False,5190,2017Q3,50.0039819743626,68.42105263157895,50.0
stmt-2017-12-13,2017-12-13,54.105047565704126,1.7359602731841974,25,False,2056,2017Q4,50.0039819743626,74.73684210526315,50.0
stmt-2018-03-21,2018-03-21,57.944557189849164,1.7948672248928401,25,False,1992,2018Q1,50.0039819743626,90.52631578947368,50.0
stmt-2018-06-13,2018-06-13,64.159164213807,1.9011314501994057,25,False,1582,2018Q2,50.0039819743626,98.94736842105263,50.0
stmt-2018-09-26,2018-09-26,47.80461560234011,1.77364245065387,24,True,6374,2018Q3,50.0039819743626,41.05263157894737,50.0
stmt-2018-12-19,2018-12-19,52.61395914216489,1.7393607213328937,25,False,1864,2018Q4,50.0039819743626,66.3157894736842,50.0
stmt-2019-01-30,2019-01-30,50.31924283953191,1.7376516274513598,25,False,5313,2019Q1,49.38774509279681,55.78947368421052,23.157894736842106
stmt-2019-03-20,2019-03-20,51.55171660266349,1.7733878368241882,24,False,3679,2019Q1,50.62021885592839,62.10526315789474,77.89473684210526
stmt-2019-05-01,2019-05-01,51.353937338896316,1.7433089252539393,25,False,4062,2019Q2,52.8151915000095,60.0,95.78947368421052
stmt-2019-06-19,2019-06-19,45.731518287602526,1.737044716852663,25,True,7153,2019Q2,47.19277244871571,23.157894736842106,5.263157894736842
stmt-2019-07-31,2019-07-31,51.51544033705273,1.739563694663061,25,False,1732,2019Q3,52.95215788841346,61.05263157894737,97.89473684210527
stmt-2019-09-18,2019-09-18,45.61908850895102,1.7427055810937886,25,False,1825,2019Q3,47.05580606031175,22.105263157894736,3.1578947368421053
stmt-2019-10-30,2019-10-30,44.93090026304458,1.7597697792862985,25,False,2255,2019Q4,49.93155700460882,15.789473684210526,32.631578947368425
stmt-2019-12-11,2019-12-11,45.07575020255214,1.783608228920399,24,False,882,2019Q4,50.076406944116385,18.947368421052634,67.36842105263158
stmt-2020-01-29,2020-01-29,48.34387843087789,1.7458083145399526,24,False,2015,2020Q1,53.979758157390386,45.26315789473684,100.0
stmt-2020-03-03,2020-03-03,44.93553903925395,1.746640572008502,25,True,2382,2020Q1,50.571418765766445,16.842105263157894,76.84210526315789
stmt-2020-03-15,2020-03-15,39.82488927341848,1.787566936258922,25,False,4136,2020Q1,45.46076899993097,2.1052631578947367,1.0526315789473684
stmt-2020-04-29,2020-04-29,42.73591278692738,1.7997372746988511,25,False,3898,2020Q2,49.85925391259688,10.526315789473683,29.47368421052631
stmt-2020-06-10,2020-06-10,43.02536891045884,1.764357018444233,25,False,2035,2020Q2,50.148710036128335,11.578947368421053,70.52631578947368
stmt-2020-07-29,2020-07-29,38.12036958546362,1.8244370370386487,25,False,2085,2020Q3,49.059523357577746,1.0526315789473684,18.947368421052634
stmt-2020-09-16,2020-09-16,40.009286819033335,1.783983798186536,25,False,1993,2020Q3,50.94844059114746,4.2105263157894735,82.10526315789474
stmt-2020-11-05,2020-11-05,41.8017778567568,1.761385432373423,25,False,1975,2020Q4,50.810196264282155,8.421052631578947,81.05263157894737
stmt-2020-12-16,2020-12-16,40.1893492769177,1.7995252931653927,24,False,1988,2020Q4,49.19776768444306,5.263157894736842,20.0
stmt-2021-01-27,2021-01-27,39.95829615907355,1.794492709666077,24,False,3918,2021Q1,49.60552795566524,3.1578947368421053,25.263157894736842
