doc_id,date,mu,sigma,n_comps,filter_empty,passage_chars,quarter,mu_era_adj,percentile,percentile_era
stmt-2011-04-27,2011-04-27,48.79507961737873,1.918808354253943,21,False,4507,2011Q2,48.79698471342224,35.78947368421053,13.684210526315791
stmt-2011-06-22,2011-06-22,51.21415150713736,1.9404905274822375,20,False,1768,2011Q2,51.21605660318087,72.63157894736842,87.36842105263159
stmt-2011-11-02,2011-11-02,53.96416554784018,1.9276455574023799,21,False,5723,2011Q4,50.006520658301554,91.57894736842105,50.0
stmt-2012-01-25,2012-01-25,51.188746263427404,1.918322476041011,21,False,8000,2012Q1,50.006520658301554,71.57894736842105,50.0
stmt-2012-04-25,2012-04-25,51.01619717420349,1.921354858919697,21,False,4175,2012Q2,48.72518828775957,67.36842105263158,12.631578947368421
stmt-2012-06-20,2012-06-20,53.57886191528745,1.9211041470908081,21,False,4994,2012Q2,51.28785302884353,89.47368421052632,88.42105263157895
stmt-2012-09-13,2012-09-13,53.908870223098134,1.927724945391261,21,False,7168,2012Q3,50.006520658301554,90.52631578947368,50.0
stmt-2012-12-12,2012-12-12,51.540908492058705,1.9175631080972457,21,False,8000,2012Q4,50.006520658301554,75.78947368421053,50.0
stmt-2013-03-20,2013-03-20,53.23014076785676,1.9701065168288971,20,False,7994,2013Q1,50.006520658301554,87.36842105263159,50.0
stmt-2013-06-19,2013-06-19,51.68488507507756,1.9734891247021078,20,False,7409,2013Q2,50.006520658301554,77.89473684210526,50.0
stmt-2013-09-18,2013-09-18,56.38514305997625,1.9316856199851067,21,False,8000,2013Q3,50.006520658301554,97.89473684210527,50.0
stmt-2013-12-18,2013-12-18,51.16630190490855,1.9172440090182172,21,False,8000,2013Q4,50.006520658301554,70.52631578947368,50.0
stmt-2014-03-19,2014-03-19,51.30885845787489,1.918174011951694,21,False,8000,2014Q1,50.006520658301554,74.73684210526315,50.0
stmt-2014-06-18,2014-06-18,51.62590954027791,1.918964264775966,21,False,5755,2014Q2,50.006520658301554,76.84210526315789,50.0
stmt-2014-09-17,2014-09-17,50.62926618999953,1.961521233861204,20,False,8000,2014Q3,50.006520658301554,63.1578947368421,50.0
stmt-2014-12-17,2014-12-17,50.167337146314765,1.9179534197584867,21,False,5988,2014Q4,50.006520658301554,56.84210526315789,50.0
stmt-2015-03-18,2015-03-18,48.10847062426602,1.949815374838972,20,False,7539,2015Q1,50.006520658301554,24.210526315789473,50.0
stmt-2015-06-17,2015-06-17,48.576167348198275,1.9234373410842356,21,False,7546,2015Q2,50.006520658301554,30.526315789473685,50.0
stmt-2015-09-17,2015-09-17,49.932465026746534,1.9172495947074046,21,False,7478,2015Q3,50.006520658301554,51.578947368421055,50.0
stmt-2015-12-16,2015-12-16,48.84580987427091,1.9181013244956573,21,False,8000,2015Q4,50.006520658301554,36.84210526315789,50.0
stmt-2016-03-16,2016-03-16,50.252129678649226,1.918155857888289,21,False,8000,2016Q1,50.006520658301554,57.89473684210527,50.0
stmt-2016-06-15,2016-06-15,50.481069085691445,1.9169554611795647,21,False,5542,2016Q2,50.006520658301554,61.05263157894737,50.0
stmt-2016-09-21,2016-09-21,49.99731834577912,1.9194538873560933,21,False,4867,2016Q3,50.006520658301554,52.63157894736842,50.0
stmt-2016-12-14,2016-12-14,46.34500263558283,1.922914416272203,21,False,2030,2016Q4,50.006520658301554,9.473684210526317,50.0
stmt-2017-03-15,2017-03-15,51.09303153219256,1.9165950769007813,21,False,6881,2017Q1,50.006520658301554,68.42105263157895,50.0
stmt-2017-06-14,2017-06-14,49.07237682855468,1.9171898892683819,21,False,7831,2017Q2,50.006520658301554,38.94736842105263,50.0
stmt-2017-09-20,2017-09-20,48.88114496999795,1.9211806459874237,21,False,5190,2017Q3,50.006520658301554,37.89473684210527,50.0
stmt-2017-12-13,2017-12-13,48.567245839117575,1.974788641974448,20,False,7779,2017Q4,50.006520658301554,29.47368421052631,50.0
stmt-2018-03-21,2018-03-21,49.58637494637879,1.919717711560929,21,False,5727,2018Q1,50.006520658301554,47.368421052631575,50.0
stmt-2018-06-13,2018-06-13,47.005738627960774,1.919533085341817,21,False,7455,2018Q2,50.006520658301554,11.578947368421053,50.0
stmt-2018-09-26,2018-09-26,47.46604114882667,1.9637770533643724,20,False,6314,2018Q3,50.006520658301554,18.947368421052634,50.0
stmt-2018-12-19,2018-12-19,47.40200878097831,1.916741463558799,21,False,7501,2018Q4,50.006520658301554,16.842105263157894,50.0
stmt-2019-01-30,2019-01-30,44.92539296117519,1.9239286931409292,21,False,7844,2019Q1,49.20887282054987,3.1578947368421053,23.157894736842106
stmt-2019-03-20,2019-03-20,46.52068863667856,1.9189389705796522,21,False,5726,2019Q1,50.80416849605324,10.526315789473683,77.89473684210526
stmt-2019-05-01,2019-05-01,45.47057526545427,1.9211537819182531,21,False,3916,2019Q2,47.46371862608949,4.2105263157894735,4.2105263157894735
stmt-2019-06-19,2019-06-19,50.55617932987841,1.9168643928955216,21,False,5118,2019Q2,52.54932269051363,62.10526315789474,96.84210526315789
stmt-2019-07-31,2019-07-31,50.928284376780745,1.928592866442687,21,False,5206,2019Q3,51.4969020472092,66.3157894736842,90.52631578947368
stmt-2019-09-18,2019-09-18,47.947521598965466,1.9202793608170352,21,False,5715,2019Q3,48.51613926939392,22.105263157894736,10.526315789473683
stmt-2019-10-30,2019-10-30,47.13951309759409,1.9210360204057997,21,False,4313,2019Q4,49.203018232193244,13.684210526315791,21.052631578947366
stmt-2019-12-11,2019-12-11,48.74651794981071,1.9669041376204628,20,False,4927,2019Q4,50.81002308440986,34.73684210526316,80.0
stmt-2020-01-29,2020-01-29,46.29221625646405,1.9243828431796977,21,False,6151,2020Q1,47.03403952060353,8.421052631578947,3.1578947368421053
stmt-2020-03-03,2020-03-03,49.31988593383201,1.922780556713065,21,False,1872,2020Q1,50.06170919797149,43.15789473684211,66.3157894736842
stmt-2020-03-15,2020-03-15,52.181989992190154,1.9699868463526748,20,False,7838,2020Q1,52.92381325632963,81.05263157894737,97.89473684210527
stmt-2020-04-29,2020-04-29,53.42440856249047,1.9396416175885038,21,False,5240,2020Q2,52.052568901433645,88.42105263157895,93.6842105263158
stmt-2020-06-10,2020-06-10,49.33231207622629,1.9194655441899076,21,False,6151,2020Q2,47.96047241516946,44.21052631578947,7.368421052631578
stmt-2020-07-29,2020-07-29,50.446521402627454,1.9185086627513335,21,False,5421,2020Q3,52.27240546785211,60.0,95.78947368421052
stmt-2020-09-16,2020-09-16,45.91475178352635,1.968757508560446,20,False,5906,2020Q3,47.740635848751005,7.368421052631578,5.263157894736842
stmt-2020-11-05,2020-11-05,49.130230340486726,1.9163281368945921,21,False,4003,2020Q4,50.42250780243797,41.05263157894737,70.52631578947368
stmt-2020-12-16,2020-12-16,48.298256052213894,1.9189976897859538,21,False,5903,2020Q4,49.59053351416514,26.31578947368421,30.526315789473685
stmt-2021-01-27,2021-01-27,48.34821349153613,1.9185011616784666,21,False,5827,2021Q1,51.81378413078092,27.368421052631582,91.57894736842105
stmt-2021-03-17,2021-03-17,44.7336865465774,1.9303111998396467,21,False,4520,2021Q1,48.19925718582219,2.1052631578947367,9.473684210526317
stmt-2021-04-28,2021-04-28,45.8255913343265,1.922225253537796,21,False,4302,2021Q2,49.9635744517611,5.263157894736842,34.73684210526316
stmt-2021-06-16,2021-06-16,45.91148374740741,1.9211675953048633,21,False,5661,2021Q2,50.04946686484201,6.315789473684211,65.26315789473685
stmt-2021-07-28,2021-07-28,47.18605821428531,1.920056140440322,21,False,5276,2021Q3,49.0523969188222,14.736842105263156,17.894736842105264
stmt-2021-09-22,2021-09-22,49.094305693244024,1.9176154653003619,21,False,6050,2021Q3,50.96064439778091,40.0,83.15789473684211
stmt-2021-11-03,2021-11-03,48.262082035733556,1.9705993443397785,20,False,5404,2021Q4,47.80683705047336,25.263157894736842,6.315789473684211
stmt-2021-12-15,2021-12-15,52.66144925138993,1.9264081733870146,21,False,5256,2021Q4,52.20620426612974,83.15789473684211,94.73684210526315
stmt-2022-01-26,2022-01-26,51.11374241740703,1.9185939497613442,21,False,5596,2022Q1,49.158188305590585,69.47368421052632,18.947368421052634
stmt-2022-03-16,2022-03-16,52.81040712282897,1.9212825250615988,21,False,6975,2022Q1,50.85485301101252,85.26315789473684,82.10526315789474
stmt-2022-05-04,2022-05-04,54.181806339827645,1.9575201085009581,20,False,5495,2022Q2,49.2118477233058,92.63157894736842,24.210526315789473
stmt-2022-06-15,2022-06-15,55.77115220981915,1.9246768594605654,21,False,6502,2022Q2,50.801193593297306,96.84210526315789,76.84210526315789
stmt-2022-07-27,2022-07-27,55.16678279266333,1.936477609057393,21,False,4525,2022Q3,49.205304051099105,94.73684210526315,22.105263157894736
stmt-2022-09-21,2022-09-21,56.769216007068216,1.9533275257788425,21,False,5492,2022Q3,50.807737265503995,100.0,78.94736842105263
stmt-2022-11-02,2022-11-02,56.4665278297615,1.979945257311177,20,False,4736,2022Q4,51.02760596276331,98.94736842105263,85.26315789473684
stmt-2022-12-14,2022-12-14,54.42435722083799,1.943023501536383,21,False,6132,2022Q4,48.9854353538398,93.6842105263158,15.789473684210526
stmt-2023-02-01,2023-02-01,52.82581123183999,1.9320505734601103,21,False,4420,2023Q1,51.33742316040445,86.31578947368422,89.47368421052632
stmt-2023-03-22,2023-03-22,50.164006227634204,1.9186597530686864,21,False,5764,2023Q1,48.67561815619866,55.78947368421052,11.578947368421053
stmt-2023-05-03,2023-05-03,51.247294741780884,1.95994049531137,20,False,4807,2023Q2,50.578754926998265,73.68421052631578,73.68421052631578
stmt-2023-06-14,2023-06-14,50.10282620438746,1.9190014642832367,21,False,5795,2023Q2,49.43428638960484,53.68421052631579,27.368421052631582
stmt-2023-07-26,2023-07-26,50.78636058520141,1.9165872135992825,21,False,3579,2023Q3,49.05035573911934,64.21052631578948,16.842105263157894
stmt-2023-09-20,2023-09-20,52.69869042356584,1.922971271771372,21,False,5616,2023Q3,50.962685577483775,84.21052631578947,84.21052631578947
stmt-2023-11-01,2023-11-01,52.538642078562454,1.9184065730757256,21,False,6787,2023Q4,51.90538514604984,82.10526315789474,92.63157894736842
stmt-2023-12-13,2023-12-13,48.740913103065886,1.9172247337914594,21,False,7861,2023Q4,48.10765617055327,33.68421052631579,8.421052631578947
stmt-2024-01-31,2024-01-31,47.424486008608234,1.9733655182819456,20,False,5934,2024Q1,49.501382396829854,17.894736842105264,28.421052631578945
stmt-2024-03-20,2024-03-20,48.434762531551634,1.9678174254668033,20,False,5811,2024Q1,50.511658919773254,28.421052631578945,72.63157894736842
stmt-2024-05-01,2024-05-01,52.006575835961186,1.9228511785986926,21,False,7204,2024Q2,50.614453766622624,80.0,74.73684210526315
stmt-2024-06-12,2024-06-12,50.790709619319045,1.9177036549147395,21,False,6102,2024Q2,49.39858754998048,65.26315789473685,26.31578947368421
stmt-2024-07-31,2024-07-31,50.13855053901198,1.922366942150427,21,False,5704,2024Q3,53.02024582471869,54.736842105263165,98.94736842105263
stmt-2024-09-18,2024-09-18,44.111100206177696,1.9319538301042103,21,False,7250,2024Q3,46.99279549188441,1.0526315789473684,2.1052631578947367
stmt-2024-11-07,2024-11-07,47.19034956943876,1.9639345931975265,20,False,5314,2024Q4,49.29076913097395,15.789473684210526,25.263157894736842
stmt-2024-12-18,2024-12-18,48.62185262409396,1.958346358909283,20,False,5774,2024Q4,50.72227218562915,32.631578947368425,75.78947368421053
stmt-2025-01-29,2025-01-29,49.85487040196794,1.9738499329993506,20,False,3690,2025Q1,50.19165159516636,50.526315789473685,68.42105263157895
stmt-2025-03-19,2025-03-19,49.484608528238326,1.918679811132213,21,False,1975,2025Q1,49.821389721436745,45.26315789473684,32.631578947368425
stmt-2025-05-07,2025-05-07,47.76526842927353,1.9725586661671886,20,False,3796,2025Q2,49.59885091951888,21.052631578947366,31.57894736842105
stmt-2025-06-18,2025-06-18,48.580607906838885,1.9182864251534357,21,False,5590,2025Q2,50.41419039708423,31.57894736842105,69.47368421052632
stmt-2025-07-30,2025-07-30,50.27345079228032,1.919646711715346,21,False,3389,2025Q3,49.1879845480518,58.94736842105262,20.0
stmt-2025-09-17,2025-09-17,51.91052301277983,1.9201662591137052,21,False,2038,2025Q3,50.825056768551306,78.94736842105263,81.05263157894737
stmt-2025-10-29,2025-10-29,47.71641085835517,1.915114604999678,21,False,3923,2025Q4,48.937574814887505,20.0,14.736842105263156
stmt-2025-12-10,2025-12-10,49.85430254518327,1.9180150913117302,21,False,3995,2025Q4,51.07546650171561,49.473684210526315,86.31578947368422
stmt-2026-01-28,2026-01-28,47.018946872914306,1.9204095517718713,21,False,3742,2026Q1,49.533150434556596,12.631578947368421,29.47368421052631
stmt-2026-03-18,2026-03-18,47.96568732040423,1.920797961698304,21,False,3864,2026Q1,50.47989088204652,23.157894736842106,71.57894736842105
stmt-2026-04-29,2026-04-29,49.554739099638695,1.9441994062303778,20,False,1845,2026Q2,49.88853847098886,46.31578947368421,33.68421052631579
stmt-2026-06-17,2026-06-17,49.79070347426408,1.9190649627060723,21,True,5987,2026Q2,50.124502845614245,48.421052631578945,67.36842105263158
stmt-2026-07-29,2026-07-29,49.14560658153866,1.9175062753016503,21,False,2002,2026Q3,46.79858438019423,42.10526315789473,1.0526315789473684
stmt-2026-09-16,2026-09-16,55.56147913775331,1.9430535923586452,21,False,5109,2026Q3,53.21445693640888,95.78947368421052,100.0
