doc_id,date,mu,sigma,n_comps,filter_empty,passage_chars,quarter,mu_era_adj,percentile,percentile_era
stmt-2011-04-27,2011-04-27,50.33054845222913,1.919177645630165,21,False,4507,2011Q2,51.129524601881016,55.78947368421052,88.42105263157895
stmt-2011-06-22,2011-06-22,48.08544421679039,1.9197843961805368,21,False,1768,2011Q2,48.88442036644228,28.421052631578945,13.684210526315791
stmt-2011-11-02,2011-11-02,54.807778219692885,1.926650067851615,21,False,5723,2011Q4,50.00697248416164,92.63157894736842,51.05263157894737
stmt-2012-01-25,2012-01-25,51.38832763625416,1.919609750889129,21,False,8000,2012Q1,50.00697248416164,69.47368421052632,51.05263157894737
stmt-2012-04-25,2012-04-25,52.93617640116116,1.9212016652425694,21,False,4175,2012Q2,48.89662527818968,85.26315789473684,14.736842105263156
stmt-2012-06-20,2012-06-20,55.156870813105094,1.9270784054090444,21,False,4994,2012Q2,51.11731969013361,96.84210526315789,87.36842105263159
stmt-2012-09-13,2012-09-13,55.73632023830305,1.9327635776644396,21,False,7168,2012Q3,50.00697248416164,97.89473684210527,51.05263157894737
stmt-2012-12-12,2012-12-12,52.41234972316504,1.9674680068924517,20,False,8000,2012Q4,50.00697248416164,78.94736842105263,51.05263157894737
stmt-2013-03-20,2013-03-20,52.430447350854294,1.9289582962213623,21,False,7994,2013Q1,50.00697248416164,81.05263157894737,51.05263157894737
stmt-2013-06-19,2013-06-19,51.935673584929795,1.9196351936957825,21,False,7409,2013Q2,50.00697248416164,74.73684210526315,51.05263157894737
stmt-2013-09-18,2013-09-18,49.5015196925087,1.9202368272788375,21,False,8000,2013Q3,50.00697248416164,42.10526315789473,51.05263157894737
stmt-2013-12-18,2013-12-18,52.86467014249487,1.919949772175547,21,False,8000,2013Q4,50.00697248416164,84.21052631578947,51.05263157894737
stmt-2014-03-19,2014-03-19,52.03989359056306,1.9207942467358687,21,False,8000,2014Q1,50.00697248416164,75.78947368421053,51.05263157894737
stmt-2014-06-18,2014-06-18,51.236783763667354,1.9207996372925513,21,False,5755,2014Q2,50.00697248416164,67.36842105263158,51.05263157894737
stmt-2014-09-17,2014-09-17,50.401537716733145,1.9180968238648533,21,False,8000,2014Q3,50.00697248416164,58.94736842105262,51.05263157894737
stmt-2014-12-17,2014-12-17,50.25999138941674,1.9245289201817588,21,False,5988,2014Q4,50.00697248416164,52.63157894736842,51.05263157894737
stmt-2015-03-18,2015-03-18,49.2786981488499,1.973637012020509,20,False,7539,2015Q1,50.00697248416164,41.05263157894737,51.05263157894737
stmt-2015-06-17,2015-06-17,50.34811314473618,1.9405727102288441,20,False,7546,2015Q2,50.00697248416164,56.84210526315789,51.05263157894737
stmt-2015-09-17,2015-09-17,50.30319967903109,1.9187471203473692,21,False,7478,2015Q3,50.00697248416164,54.736842105263165,51.05263157894737
stmt-2015-12-16,2015-12-16,48.948655148406075,1.9198849487738823,21,False,8000,2015Q4,50.00697248416164,35.78947368421053,51.05263157894737
