date,score,se,n_pairs,score_jev
2011-04-27,,,0,1.0
2011-06-22,,,0,0.75
2011-11-02,,,0,0.5
2012-01-25,,,0,0.5
2012-04-25,,,0,0.41
2012-06-20,,,0,0.42
2012-09-13,,,0,0.56
2012-12-12,,,0,0.88
2013-03-20,,,0,0.64
2013-06-19,,,0,0.77
2013-09-18,,,0,0.86
2013-12-18,,,0,0.96
2014-03-19,,,0,1.26
2014-06-18,,,0,1.13
2014-09-17,,,0,1.55
2014-12-17,,,0,1.26
2015-03-18,,,0,1.66
2015-06-17,,,0,0.84
2015-09-17,-1.0202238953478353,0.29684772698784734,1,0.83
2015-12-16,1.4986764309488454,0.20568934073750078,2,2.43
2016-03-16,-0.47845253560100925,0.3281424408443659,1,1.05
2016-06-15,,,0,0.93
2016-09-21,-1.4068830806969395,0.25201951285154117,1,1.4
2016-12-14,1.4068830806969395,0.2520195128515415,1,2.61
2017-03-15,,,0,2.66
2017-06-14,-0.17417519343118912,0.3123499016715567,1,2.46
2017-09-20,-0.9585922666955985,0.2613612643835116,2,1.64
2017-12-13,1.1327674601267876,0.482972219885149,1,2.46
2018-03-21,,,0,2.77
2018-06-13,,,0,2.58
2018-09-26,,,0,2.53
2018-12-19,0.7995144672643977,0.18473818538858486,1,1.93
2019-01-30,-0.7995144672643977,0.1847381853885848,1,0.6
2019-03-20,,,0,1.13
2019-05-01,,,0,1.15
2019-06-19,-0.3675629592810019,0.3376474655161205,1,0.73
2019-07-31,-0.9536085551287635,0.33490582646966965,2,0.6
2019-09-18,-1.1199102326352892,0.4991236790822043,1,0.62
2019-10-30,-1.5590543934600911,0.3480387873134144,2,0.59
2019-12-11,0.8357075554575857,0.47462452493431073,1,1.42
2020-01-29,,,0,1.75
2020-03-03,-1.6361826983480545,0.2688643733028563,4,0.24
2020-03-15,-1.854573664105753,0.2551078465538183,5,0.07
2020-04-29,-1.6361826983480545,0.2688643733028565,4,0.19
2020-06-10,-1.6361826983480545,0.2688643733028564,4,0.1
2020-07-29,-1.6361826983480545,0.2688643733028563,4,0.22
2020-09-16,-1.6361826983480545,0.26886437330285634,4,0.86
2020-11-05,-1.6361826983480545,0.26886437330285645,4,0.49
2020-12-16,-1.6361826983480545,0.26886437330285645,4,0.59
2021-01-27,-1.6361826983480545,0.2688643733028564,4,0.51
2021-03-17,,,0,0.57
2021-04-28,,,0,0.6
2021-06-16,,,0,1.18
2021-07-28,,,0,1.17
2021-09-22,,,0,1.66
2021-11-03,,,0,1.52
2021-12-15,,,0,2.94
2022-01-26,-4.923143515314295,1.0162793102876695,1,3.02
2022-03-16,-1.2346968448324562,0.6962461231685858,2,3.33
2022-05-04,1.931693206227906,0.6219636619526676,2,3.67
2022-06-15,5.558829903750932,0.5874465735471649,10,3.85
2022-07-27,4.369619629153201,0.22141169819262735,9,3.9
2022-09-21,4.369619629153196,0.22141169819262707,9,3.86
2022-11-02,4.377979870386323,0.20542548891257423,10,3.88
2022-12-14,1.4297116359206827,0.24515202099867195,2,3.58
2023-02-01,-1.4743611063079447,0.7081222758995022,1,3.5
2023-03-22,,,0,2.4
2023-05-03,0.286885344251774,0.7389480178914347,1,3.18
2023-06-14,-0.11448031261985596,0.5080867975449243,2,3.25
2023-07-26,0.8889053628570116,0.5136930054369166,2,3.36
2023-09-20,-1.0613103944889295,0.8433715049445489,1,3.15
2023-11-01,,,0,3.13
2023-12-13,,,0,2.9
2024-01-31,,,0,2.49
2024-03-20,,,0,2.24
2024-05-01,,,0,2.99
2024-06-12,,,0,2.86
2024-07-31,2.9238973524565313,0.7499284889602956,1,2.77
2024-09-18,-1.2959630738063441,0.5344315195697305,2,0.95
2024-11-07,-1.6279342786501876,0.7867184002698824,1,1.06
2024-12-18,-1.453108948705371,0.24425485151903215,1,1.44
2025-01-29,1.453108948705371,0.24425485151903195,1,2.21
2025-03-19,,,0,2.18
2025-05-07,,,0,2.06
2025-06-18,,,0,2.3
2025-07-30,1.5581778160511277,0.1272375675070876,1,2.51
2025-09-17,-1.5581778160511277,0.12723756750708787,1,1.26
2025-10-29,,,0,1.49
2025-12-10,-0.34056289814687246,0.5639126155481967,1,1.31
2026-01-28,0.34056289814687246,0.5639126155482035,1,1.4
2026-03-18,,,0,1.83
2026-04-29,,,0,1.54
2026-06-17,,,0,2.82
2026-07-29,-0.36568897112514714,0.5126254823615669,1,2.96
2026-09-16,4.068900398925351,0.3218002853108429,5,3.47
